UTC,HARD_C,MEAN_H_E
2024-10-03 12:00:03,725,67.06359341129244
2024-10-03 12:00:11,165,71.99845099895771
2024-10-03 12:00:14,221,57.86121561367731
2024-10-03 12:00:17,174,53.69880938865348
2024-10-03 12:00:20,355,33.284628771854486
2024-10-03 12:00:24,110,76.29945346279429
2024-10-03 12:00:32,55,81.95453109496874
2024-10-03 12:01:23,344,60.51332379637325
2024-10-03 12:01:37,397,63.03755895812348
2024-10-03 12:01:46,292,66.6298999457491
2024-10-03 12:01:47,60,65.93862486366946
2024-10-03 12:01:53,38,62.95011668762381
2024-10-03 12:01:54,392,46.26921563609853
2024-10-03 12:02:00,417,56.787332590352
2024-10-03 12:02:01,24,43.59569125333747
2024-10-03 12:02:07,22,64.72381960202281
2024-10-03 12:02:08,358,61.21346476553061
2024-10-03 12:02:14,340,54.15197555758556
2024-10-03 12:02:15,71,50.00620905008801
2024-10-03 12:02:20,247,56.68726557004969
2024-10-03 12:02:21,167,48.463982050518254
2024-10-03 12:02:25,35,50.26067307380308
2024-10-03 12:02:27,354,44.61934364557746
2024-10-03 12:02:28,155,29.257717852682266
2024-10-03 12:02:30,292,42.08417083174471
2024-10-03 12:02:33,412,44.68739252186999
2024-10-03 12:02:35,380,39.69507870100786
2024-10-03 12:02:38,428,41.29650216067359
2024-10-03 12:02:41,277,45.820436613267354
2024-10-03 12:02:42,142,36.35329962370528
2024-10-03 12:02:45,224,42.22157313233654
2024-10-03 12:02:46,172,38.64540946034966
2024-10-03 12:02:47,340,51.67198330953145
2024-10-03 12:02:49,18,50.87398034805682
2024-10-03 12:02:53,308,56.34392426920601
2024-10-03 12:02:54,50,54.35429420293995
2024-10-03 12:02:59,299,46.952130341475616
2024-10-03 12:03:00,56,53.28461026719698
2024-10-03 12:03:03,386,45.91920151728993
2024-10-03 12:03:05,58,65.29841141787843
2024-10-03 12:03:11,352,67.93550493149338
2024-10-03 12:03:17,273,53.76238760517183
2024-10-03 12:03:19,112,75.98720842796806
2024-10-03 12:03:25,376,69.96742542344478
2024-10-03 12:03:31,350,58.220412066533456
2024-10-03 12:03:32,57,56.597135153595275
2024-10-03 12:03:39,331,71.26204437461196
2024-10-03 12:03:46,317,54.1210790360649
2024-10-03 12:03:47,84,49.588284349485036
2024-10-03 12:03:54,31,49.54481994428913
2024-10-03 12:03:57,370,61.70091417508997
2024-10-03 12:04:00,387,49.25948071355825
2024-10-03 12:04:03,22,61.839797553683326
2024-10-03 12:04:07,152,65.33258627107152
2024-10-03 12:04:08,199,65.62039621077714
2024-10-03 12:04:16,376,67.19807864068588
2024-10-03 12:04:23,438,56.760759336269594
2024-10-03 12:04:32,416,60.893837750753995
2024-10-03 12:04:39,323,65.46932357159156
2024-10-03 12:04:47,381,67.47821843791412
2024-10-03 12:04:56,38,47.05718267288744
2024-10-03 12:04:57,351,70.34561586522152
2024-10-03 12:05:02,342,52.48679396758622
2024-10-03 12:05:03,60,63.251673523807725
2024-10-03 12:05:10,389,67.25405943126576
2024-10-03 12:05:18,399,65.2652422528185
2024-10-03 12:05:26,407,62.90755776924756
2024-10-03 12:05:33,74,63.56530567381001
2024-10-03 12:05:35,341,58.11414778195438
2024-10-03 12:05:41,340,60.243589636704556
2024-10-03 12:05:42,85,48.32667799129907
2024-10-03 12:05:50,337,69.24950170542854
2024-10-03 12:05:58,347,66.76369452069174
2024-10-03 12:06:06,392,67.36420695399067
2024-10-03 12:06:14,334,66.99869485308135
2024-10-03 12:06:21,42,67.33968355763241
2024-10-03 12:06:22,301,64.55525952384635
2024-10-03 12:06:29,384,63.028374413056774
2024-10-03 12:06:30,34,79.06940447622483
2024-10-03 12:06:36,401,58.45525970987876
2024-10-03 12:06:44,382,68.35253790488508
2024-10-03 12:06:52,306,66.2141374013635
2024-10-03 12:06:53,104,62.99414056510022
2024-10-03 12:07:00,347,50.28130846473854
2024-10-03 12:07:01,95,72.81602626186127
2024-10-03 12:07:08,452,59.0463146405509
2024-10-03 12:07:15,353,61.137363191305255
2024-10-03 12:07:16,64,59.20778196282115
2024-10-03 12:07:23,387,62.67496846587014
2024-10-03 12:07:31,33,55.414272138088435
2024-10-03 12:07:32,384,59.60370590822627
2024-10-03 12:07:40,373,58.54617813056401
2024-10-03 12:07:41,92,58.392666072277486
2024-10-03 12:07:44,169,41.14128840616032
2024-10-03 12:07:46,270,62.43517886830876
2024-10-03 12:07:52,388,64.78303186460585
2024-10-03 12:08:00,337,73.9192306820125
2024-10-03 12:08:08,293,72.03151824006022
2024-10-03 12:08:09,51,73.53282221301458
2024-10-03 12:08:16,385,65.38510413867303
2024-10-03 12:08:25,389,62.448265422790186
